Address,City,ZipCode,Bedrooms,Bathrooms,SquareFeet,Price,RentEstimate,MonthlyCost,ProposedPrice,NOI,CapRate,
7808 Enchanted Nest Ln ,TRUE,79911,4,3,2368,409560,4319,3923.124512,368604,395.8754883,1.288783046,
719 Oro Pl ,TRUE,79928,6,3,2739,194500,2050,1862.960327,175050,187.0396729,1.282191416,
7120 Lemon Tree Ln ,TRUE,79915,3,2,1714,122000,1285,1168.437378,109800,116.5626221,1.273908438,
512 N Grama St ,TRUE,79903,3,2.5,1516,209000,2199,2001.384888,188100,197.6151123,1.260702471,
2320 Enchanted Hawk Pl ,TRUE,79911,4,3,2368,410560,4319,3931.437988,369504,387.5620117,1.258645141,
5127 Temple Ct ,TRUE,79924,4,3,2516,219000,2300,2096.63916,197100,203.3608398,1.238117746,
6696 Tiger Eye Dr ,TRUE,79924,3,1,1788,189999,1995,1818.94165,170999.1,176.0583496,1.235503693,
14273 Tierra Yamila Ln ,TRUE,79938,3,2,1136,200000,2100,1914.684082,180000,185.315918,1.235439453,
9860 Titan St ,TRUE,79924,3,2,1809,190000,1995,1818.949951,171000,176.0500488,1.235438939,
14244 Smokey Point Dr ,TRUE,79938,3,2,1797,267000,2800,2555.68335,240300,244.3166504,1.220058179,
2210 Arizona Ave ,TRUE,79930,3,1,1171,135950,1425,1301.209595,122355,123.7904053,1.214077776,
5714 Elkton Way ,TRUE,79924,4,2,1998,215000,2250,2057.385498,193500,192.614502,1.194508539,
14720 Dust Devil Ct ,FALSE,79928,3,2,1099,170000,1775,1626.281494,153000,148.7185059,1.166419654,
3906 Idalia Ave ,TRUE,79930,2,1,942,115000,1200,1100.043335,103500,99.95666504,1.158917856,
2817 Anise Dr ,TRUE,79936,2,1,972,115000,1200,1100.043335,103500,99.95666504,1.158917856,
5924 Sixta Dr ,TRUE,79932,3,1,960,115000,1199,1099.92334,103500,99.07666016,1.1487149,
11050 Breeze Ct ,TRUE,79936,3,2,1101,129995,1350,1242.703125,116995.5,107.296875,1.100523097,
4119 Broaddus Ave ,TRUE,79904,3,1,1124,130000,1350,1242.744629,117000,107.2553711,1.100055088,
7610 Alpine Dr ,TRUE,79915,3,1,1120,130000,1350,1242.744629,117000,107.2553711,1.100055088,
6200 Bluff View Pl ,TRUE,79912,4,4,2113,385000,3950,3674.666992,346500,275.3330078,0.953534226,
10222 Lakeview Dr ,TRUE,79924,4,2,1429,175000,1795,1670.248657,157500,124.7513428,0.950486421,
673 DE Vargas Dr ,TRUE,79905,3,1,957,117000,1200,1116.670166,105300,83.32983398,0.949627738,
9613 Falkirk Ave ,TRUE,79925,3,3,1678,199999,2050,1908.675781,179999.1,141.3242188,0.942166169,
5869 Kobe Bryant St ,TRUE,79924,4,4,2620,385950,3950,3682.564697,347355,267.4353027,0.923903106,
4639 Vulcan Ave ,TRUE,79904,3,1,1075,135000,1380,1287.911743,121500,92.08825684,0.909513648,
5128 Orleans Ave ,TRUE,79924,3,2,1784,244900,2500,2335.956787,220410,164.0432129,0.893116716,
2825 Pasillo Rock Pl ,TRUE,79938,3,3,2457,254950,2600,2431.506592,229455,168.4934082,0.881184066,
9634 Blue Wing Dr ,TRUE,79924,4,2,1722,179950,1835,1716.200073,161955,118.7999268,0.88024397,
12600 Polo Norte ,TRUE,79934,5,3,2250,314950,3200,3002.311768,283455,197.6882324,0.83690843,
12464 Polo Norte ,TRUE,79934,5,3,2250,314950,3200,3002.311768,283455,197.6882324,0.83690843,
12781 Viendo Norte ,TRUE,79934,5,3,2250,314950,3200,3002.311768,283455,197.6882324,0.83690843,
12564 Polo Norte ,TRUE,79934,5,3,2250,314950,3200,3002.311768,283455,197.6882324,0.83690843,
12517 Cayo Norte ,TRUE,79934,5,3,2250,314950,3200,3002.311768,283455,197.6882324,0.83690843,
12669 Don Norte ,TRUE,79934,5,3,2250,314950,3200,3002.311768,283455,197.6882324,0.83690843,
19611 Gary Lee ,TRUE,79938,4,3.5,3700,295500,3000,2816.615723,265950,183.3842773,0.827453028,
695 Teichelkamp Dr ,TRUE,79928,3,3,2145,258000,2600,2456.862549,232200,143.1374512,0.73972843,
5125 Bastille Ave ,TRUE,79924,3,2,1643,166600,1670,1585.415894,149940,84.58410645,0.676943629,
144 Candelaria St ,TRUE,79907,3,1,1247,139950,1400,1331.463257,125955,68.53674316,0.652964089,
695 Lomaland Dr ,TRUE,79907,3,3,1631,159950,1600,1521.731689,143955,78.26831055,0.652439809,
7484 Norte Chile ,TRUE,79934,5,3,2250,319950,3200,3043.878906,287955,156.1210938,0.650606215,
12247 Jasmin Ali Ln ,TRUE,79938,4,2.5,1880,260000,2600,2473.489258,234000,126.5107422,0.648773037,
2129 Noviembre Dr ,TRUE,79935,7,5,4390,330000,3300,3139.428711,297000,160.5712891,0.648772885,
1737 Russ Randall St ,TRUE,79936,3,2,1326,150000,1500,1427.013062,135000,72.98693848,0.648772786,
328 Montoya Ln ,TRUE,79932,4,4,2028,200000,2000,1902.684082,180000,97.31591797,0.648772786,
1713 Karl Wyler Dr ,TRUE,79936,3,3,1101,135000,1350,1284.311768,121500,65.68823242,0.648772666,
14489 Brianna Leah Dr ,TRUE,79938,4,2,1790,280075,2800,2664.381348,252067.5,135.6186523,0.64563017,
714 N Luna St ,TRUE,79903,3,2,1494,220000,2199,2092.83252,198000,106.1674805,0.643439276,
11565 Spencer Dr ,TRUE,79936,3,2,1795,199900,1995,1901.252808,179910,93.74719238,0.62529393,
14921 Tierra Mirage Ave ,TRUE,79938,3,2,1375,165500,1650,1573.871094,148950,76.12890625,0.613324522,
9000 Sinaloa Ln ,TRUE,79907,4,2,2040,159000,1585,1512.033936,143100,72.96606445,0.611874754,
3181 Mansour Farah St ,TRUE,79938,4,2.5,2336,221450,2195,2104.406982,199305,90.59301758,0.545453557,
7377 Norte Grande ,TRUE,79934,5,3,2250,322950,3200,3068.819092,290655,131.1809082,0.541594295,
7150 Lavern Ave ,TRUE,79915,3,2,2538,199950,1975,1899.268433,179955,75.73156738,0.505003367,
3908 Hercules Ave ,TRUE,79904,3,2,1216,162000,1600,1538.77417,145800,61.22583008,0.503916297,
234 Cherry St ,TRUE,79915,3,2,1300,147000,1450,1396.072876,132300,53.92712402,0.489134912,
10633 Hidden Link Pl ,TRUE,79924,3,3,2566,324495,3200,3081.66333,292045.5,118.3366699,0.486239315,
7400 Rio Rimac ,TRUE,79934,5,3,2250,324950,3200,3085.446045,292455,114.5539551,0.470037257,
6265 Bandolero Dr ,TRUE,79912,4,3,2431,346000,3400,3284.443604,311400,115.5563965,0.445304033,
1901 Octubre Dr ,TRUE,79935,3,2,2350,285000,2800,2705.324951,256500,94.67504883,0.442924205,
Sotol Plan, Hidden Village Community ,TRUE,79924,4,3,2562,325900,3200,3093.34375,293310,106.65625,0.436355733
446 El Camino Dr ,TRUE,79912,4,2,1999,198999,1950,1888.362427,179099.1,61.63757324,0.412984141,
13628 Blackburn Ave ,TRUE,79928,3,2,1403,166000,1625,1575.027832,149400,49.97216797,0.401382875,
888 Crystal Deer Dr ,TRUE,79928,4,3,2110,265950,2600,2522.954102,239355,77.04589844,0.386267586,
1908 Solano Dr ,TRUE,79935,6,3,2719,209700,2050,1989.324341,188730,60.67565918,0.385793414,
5204 Marcillus Ave ,TRUE,79924,3,2,1443,163950,1600,1554.985352,147555,45.01464844,0.366084363,
12280 Heathrow Ct ,TRUE,79928,4,2.5,1417,205000,1999,1944.131226,184500,54.86877441,0.356870077,
5009 Cedar Sands Ln ,TRUE,79924,3,2,1780,226000,2200,2142.833008,203400,57.16699219,0.33726839,
14576 Desierto Lindo Ave ,FALSE,79928,3,2,1113,184500,1795,1749.226074,166050,45.77392578,0.330796212,
5120 LA Taste Ave ,TRUE,79924,3,3,2144,235000,2285,2227.85376,211500,57.14624023,0.324233987,
9720 El Tepeyac Ave ,TRUE,79927,3,2,1652,178000,1730,1687.388916,160200,42.61108398,0.31918415,
12217 Kingsgate Ct ,TRUE,79928,4,2,1930,175000,1700,1658.848633,157500,41.15136719,0.313534226,
4756 Loma De Plata Dr ,TRUE,79934,3,2.5,1430,205900,1999,1951.613281,185310,47.38671875,0.306859114,
7129 Orange Tree Ln ,TRUE,79915,4,2,2203,219950,2135,2084.736816,197955,50.26318359,0.304694604,
2382 Enchanted Crown ,TRUE,79911,4,3,2368,445000,4319,4217.751953,400500,101.2480469,0.303364934,
4228 Marcus Uribe Dr ,TRUE,79934,5,3,2494,329900,3200,3126.597412,296910,73.40258789,0.296666011,
1209 S Belvidere St W ,TRUE,79912,5,3,2619,384900,3730,3647.435547,346410,82.56445313,0.286011789,
14441 Eastbrook Dr ,TRUE,79938,4,3,2946,289999,2800,2746.883789,260999.1,53.11621094,0.244213306,
809 N San Marcial St ,TRUE,79903,3,1,1148,140000,1350,1325.878906,126000,24.12109375,0.229724702,
7757 Luz De Camino Way ,TRUE,79912,4,2.5,2354,215000,2070,2035.7854,193500,34.21459961,0.212183563,
11016 Sunshine Ct ,TRUE,79936,4,3,1417,145000,1395,1372.845947,130500,22.15405273,0.203715427,
6233 Grace Madriles Pl ,TRUE,79932,5,2,1781,259900,2500,2460.657959,233910,39.34204102,0.201831684,
6144 Hidden Row Ave ,FALSE,79924,4,3,2562,333020,3200,3152.5354,299718,47.46459961,0.190037033,
6700 Escondido Dr Apt B6 ,TRUE,79912,2,2,1082,115000,1100,1088.043335,103500,11.95666504,0.138628,
10428 Springwood Dr ,TRUE,79925,3,2,2240,230000,2200,2176.08667,207000,23.91333008,0.138628,
1144 Ranger St Unit A ,TRUE,79907,6,4,2330,259900,2485,2458.85791,233910,26.14208984,0.134113581,
12400 Norte Chico ,TRUE,79934,5,3,2250,334950,3200,3168.580322,301455,31.41967773,0.125072111,
12937 Nidd Ave ,TRUE,79928,4,2,1782,261950,2500,2477.700439,235755,22.29956055,0.11350543,
15101 Pumice Dr ,TRUE,79928,4,4,3020,325000,3100,3073.861816,292500,26.13818359,0.107233574,
14807 Pebble Hills Blvd ,TRUE,79938,4,2,1800,293950,2800,2779.72998,264555,20.27001953,9.19E-02,
9517 Gschwind Ave ,TRUE,79924,4,2,2151,220000,2095,2080.352539,198000,14.64746094,8.88E-02,
10372 Thor St ,TRUE,79924,4,1.5,1690,167181,1590,1580.645996,150462.9,9.354003906,7.46E-02,
223 Lake Pl ,TRUE,79905,3,2,1297,159900,1519,1511.595947,143910,7.404052734,6.17E-02,
7870 Broadway Dr ,TRUE,79915,3,2,1723,225000,2135,2126.719727,202500,8.280273438,4.91E-02,
1518 Dale Douglas Dr ,TRUE,79936,3,2,1704,195000,1850,1843.117065,175500,6.88293457,4.71E-02,
9430 Album Ave ,TRUE,79925,4,2,1699,242900,2300,2295.329834,218610,4.670166016,2.56E-02,
6320 Navajo Ave ,TRUE,79925,3,2,1472,169000,1600,1596.96814,152100,3.031860352,2.39E-02,
7112 N Skies Ln ,TRUE,79934,4,2,1668,168000,1590,1587.454712,151200,2.545288086,2.02E-02,
3710 Moonlight Ave ,TRUE,79904,3,4,1911,185000,1750,1747.982788,166500,2.017211914,1.45E-02,
12212 Holy Springs Ct ,TRUE,79928,4,2.5,2459,275000,2600,2598.190674,247500,1.809326172,8.77E-03,
5951 Griems Ct ,TRUE,79905,8,6,5057,349300,3300,3299.87793,314370,0.122070313,4.66E-04,
